cell_type1	cell_type2	n_intersect	n_genes1	intersect_list
Bone	Breast	12	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,HIST2H3A,POLR2A,POLR2J,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Breast*	14	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Breast-Glandular	13	21	BCL2L2-PABPN1,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Breast-Squamous	7	21	EIF3CL,POLR2A,POLR2J,RGPD6,RPL21,TBC1D3C,TBC1D3F
Bone	Cervix-Glandular	1	21	POLR2A
Bone	Connective	9	21	ALG1L,BCL2L2-PABPN1,FAM86B1,HIST2H3A,POLR2A,POLR2J,RGPD6,TBC1D3C,TBC1D3H
Bone	Embryonic	1	21	POLR2J
Bone	Embryonic*	1	21	POLR2J
Bone	Embryonic-Kidney	0	21	
Bone	Embryonic-StemCell	1	21	POLR2J
Bone	Epithelium*	14	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,POLR2A,POLR2J,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Eye-Epithelium	8	21	ALG1L,BCL2L2-PABPN1,FAM86B1,NDUFC2-KCTD14,POLR2A,RGPD6,RPL21,TBC1D3F
Bone	Gastrointestinal	16	21	ALG1L,BCL2L2-PABPN1,EIF3CL,ETFRF1,FAM86B1,HIST2H3A,NDUFC2-KCTD14,PHGR1,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Gastrointestinal*	16	21	ALG1L,BCL2L2-PABPN1,EIF3CL,ETFRF1,FAM86B1,HIST2H3A,NDUFC2-KCTD14,PHGR1,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Gastrointestinal-Glandular	14	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	Glandular*	16	21	ALG1L,BCL2L2-PABPN1,EARS2,EIF3CL,FAM86B1,HIST2H3A,NDUFC2-KCTD14,PHGR1,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	HeadandNeck	11	21	ALG1L,BCL2L2-PABPN1,FAM86B1,NDUFC2-KCTD14,PHGR1,POLR2A,POLR2J,RGPD6,RPL21,TBC1D3C,TBC1D3H
Bone	HeadandNeck*	14	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,NDUFC2-KCTD14,PHGR1,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Bone	HeadandNeck-Glandular	7	21	ALG1L,BCL2L2-PABPN1,FAM86B1,POLR2A,RGPD6,RPL21,TBC1D3F
Bone	HeadandNeck-Squamous	14	21	ALG1L,BCL2L2-PABPN1,EIF3CL,FAM86B1,NDUFC2-KCTD14,PHGR1,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
