cell_type1	cell_type2	n_intersect	n_genes1	intersect_list
Glandular*	Lung-Glandular	1139	1327	ABHD17A,ABI1,AC002398.9,AC002451.1,AC002472.1,AC004017.1,AC004076.7,AC004824.2,AC005082.1,AC007216.2,AC008132.1,AC008686.1,AC009060.1,AC009977.1,AC010877.1,AC011997.1,AC026369.1,AC026407.1,AC027307.3,AC073333.1,AC073657.1,AC090673.2,AC102948.2,ACAA2,ACAD9,ACPT,ACTC1,ACTL9,ADAM8,ADAP1,ADAR,ADCY3,ADGRG1,ADM5,ADO,ADSS,ADTRP,AFMID,AGAP2-AS1,AGPAT5,AGRP,AKAP13,AKAP3,AKAP8,AL031663.1,AL118506.1,AL162389.1,AL162431.1,AL353608.1,AL365202.1,AL391152.1,AL445665.1,AL590867.1,ALAS2,ALG12,ALG1L,ALG9,AMBN,AMY1B,ANKRD13B,ANKRD13D,ANKRD20A3,ANKRD40,ANKRD7,ANOS1,ANXA8L1,AP000304.12,AP001024.2,AP003041.2,AP3B2,APCDD1,APEX2,API5,APOA1,ARF1,ARHGAP11A,ARHGAP18,ARHGAP33,ARID5A,ARMC10,ARSG,ART1,ASB16,ASB7,ASPM,ATAD3A,ATF5,ATP10A,ATP2A3,ATP2C1,ATP5I,ATP5J2-PTCD1,ATP5O,ATP8A1,ATPAF2,AUNIP,AUP1,AXDND1,AXL,B3GLCT,B3GNT9,BAHD1,BAIAP2L1,BAZ2B,BCL2L2,BCL2L2-PABPN1,BEND3,BHLHE40,BHLHE41,BIRC6,BLVRA,BPIFC,BRAP,BRD3,BRD9,BRICD5,BSG,C12orf65,C14orf80,C16orf59,C17orf100,C20orf27,C2orf83,C6orf226,C6orf62,C7orf33,C7orf55-LUC7L2,CABP2,CACNA2D1,CACNG5,CACNG8,CACYBP,CALD1,CALN1,CAPN3,CARM1,CARNS1,CASP2,CASP8AP2,CBWD3,CBX7,CCDC106,CCDC47,CCDC62,CCDC92,CCDC97,CCL1,CCNC,CCNDBP1,CCR1,CCR10,CCS,CCSER2,CD200R1L,CD244,CD5L,CDK10,CDK11A,CDS2,CDY1B,CELA1,CELF1,CENPQ,CENPU,CER1,CERS2,CES4A,CES5A,CETN1,CFAP53,CGB,CGB7,CH17-132F21.1,CHCHD6,CHD1,CHD8,CHMP7,CHPT1,CHST3,CHTOP,CILP,CKMT1A,CLCF1,CLDN18,CLDN22,CLEC10A,CLEC4D,CLPP,CLPTM1,CLPX,CMTM3,CMTM7,CNMD,CNNM4,CNOT9,CNPY4,CNTNAP3,COA7,COL5A1,COLEC12,COMMD7,COQ3,COQ6,COTL1,COX11,CPA3,CPD,CPOX,CR1L,CRIP3,CRK,CRYBA2,CRYGA,CRYL1,CSAD,CSK,CSNK1D,CSNK2A1,CSRNP1,CST1,CTC-260F20.3,CTD-2410N18.5,CTD-2545G14.7,CTD-2545M3.6,CTSH,CUL5,CWC15,CXCR5,CXXC1,CXorf56,CYB5A,CYB5B,CYB5R4,CYP26B1,CYP2W1,DAZAP1,DCAF1,DCAF13,DDX1,DDX17,DEFB4A,DEK,DENND1B,DGKD,DHRS13,DISC1,DLG5,DLGAP2,DLX2,DMAC1,DMAC2,DNAJA1,DNAJB11,DNAJB8,DNAJC19,DNAJC5,DNASE1,DNLZ,DNMT3B,DOCK5,DOLK,DPH1,DPH2,DPH6,DPP7,DPY30,DSP,DUS2,DUSP19,DUSP21,DUSP26,DUSP3,DUX4L5,DVL1,DYRK1A,DYSF,E2F1,EARS2,EBI3,EDC4,EDF1,EDRF1,EED,EGFR,EHBP1L1,EIF2AK4,EIF2D,EIF3CL,ELF3,ELMO2,ELOVL7,EMC9,EML2-AS1,EML4,ENDOV,ENGASE,ENY2,ERBB3,ERGIC3,ERI2,ESCO2,ESYT3,EVX1,EZH1,F8A1,FAAP100,FADD,FADS1,FADS6,FAM122A,FAM187B,FAM207A,FAM221B,FAM57A,FAM58A,FAM86B1,FAM91A1,FANCI,FASTKD5,FBXL19,FBXO11,FBXO42,FBXW2,FDX1,FERMT2,FGF1,FGFR1OP2,FKBP10,FKBPL,FKSG49,FKSG62,FLJ25363,FMNL3,FOS,FOXA2,FOXJ3,FOXK2,FOXRED1,FRG1,FRG1BP,FTCD,FTMT,FUOM,FURIN,FUS,FUT5,FUT6,FUT7,FXYD7,FZR1,G3BP1,G6PC3,GAD2,GALNT15,GAS7,GATAD1,GATAD2A,GATAD2B,GATD1,GATS,GDI2,GDPD5,GGN,GID8,GLO1,GNA12,GNG11,GNG13,GNLY,GOLGA6L1,GOLGA6L10,GOLGA6L22,GPHB5,GPI,GPR78,GPX2,GPX4,GREM2,GRIK3,GRIK5,GRIN3B,GRM7,GSTK1,GSTT2B,GSX2,GTF2H2,GTF3C6,GTPBP10,GTPBP3,GTPBP6,GTPBP6_X,GTPBP8,GVQW2,H2AFB1,HACL1,HAS3,HASPIN,HCLS1,HCN1,HDAC4,HDAC6,HDAC8,HDGFL2,HDHD2,HDHD3,HEATR9,HECTD1,HERC1,HEXIM2,HEY2,HIGD1C,HIKESHI,HIST1H1D,HIST1H2AJ,HIST1H3B,HIST2H2AA4,HIST2H3A,HIST2H3C,HIST2H3D,HMBS,HMGB4,HNF1B,HNRNPUL2,HPS3,HS3ST5,HSBP1,HSD11B2,HSD17B12,HSFX2,HSP90AB1,HSPA13,HSPE1-MOB4,HTRA2,ICE2,IDH3A,IER2,IFFO1,IGHV7-81,IKBKE,IL3,ILK,ILVBL,IMPDH2,INA,ING3,INPP5A,INPP5F,IPPK,IRS1,ITGA3,ITGAL,ITGAV,ITPK1,ITPKB,JDP2,JMJD6,JPH1,KATNB1,KCNK13,KCNS2,KDM4A,KDM6A,KDM6B,KIAA0100,KIAA0513,KIAA1217,KIAA1524,KIAA2012,KIF16B,KIF6,KIR2DL4,KISS1,KLF16,KLF7,KLHL20,KLHL3,KLHL36,KLK11,KMT2A,KMT2B,KNCN,KRT13,KRT16,KRT17,KRT18,KRT25,KRTAP2-2,KRTAP2-4,KRTAP29-1,KRTAP4-4,KRTAP4-6,KRTAP9-9,LAMA1,LAMB2,LARP1,LARP4,LCE1E,LCK,LGALS7B,LHX1,LHX3,LHX5,LIG1,LILRB1-AS1,LIMS4,LIN7A,LINC00999,LINC01549,LINC01587,LINGO1,LIPE,LIPT1,LLGL1,LMAN1L,LRG1,LRRC37A3,LSR,LYPD3,LYPD4,LZTS2,MAEA,MAG,MANBA,MANF,MAP2K4,MAP3K14,MAP3K2,MAPK1,MAPK7,MAPKAPK2,MAPRE1,MARK1,MARK2,MARK3,MATK,MBD3,MBD3L4,MBTD1,MC5R,MCTP1,MDH2,MDK,MECR,MED15,MED16,MEF2C,MEF2D,MEMO1,MEN1,MFAP4,MGAT4B,MGRN1,MIB1,MICAL1,MIEF2,MINOS1,MIOS,MIR103B1,MIR1228,MIR130B,MIR149,MIR181C,MIR199A1,MIR2054,MIR297,MIR3156-2,MIR3159,MIR3620,MIR3652,MIR3661,MIR378A,MIR3907,MIR3943,MIR4267,MIR4283-2,MIR4290,MIR4426,MIR4432,MIR4442,MIR4503,MIR4516,MIR4637,MIR4638,MIR4646,MIR4662B,MIR4679-1,MIR4734,MIR4769,MIR518F,MIR5193,MIR527,MIR548A1,MIR548I3,MIR549A,MIR562,MIR6165,MIR629,MIR637,MIR6511B2,MIR671,MIR6782,MIR6783,MIR6791,MIR6795,MIR6800,MIR6804,MIR6813,MIR6815,MIR6844,MIR6848,MIR6849,MIR6887,MIR6891,MIR6893,MIR7108,MIR7111,MIR939,MMACHC,MMD,MNT,MPDU1,MPI,MRM2,MRM3,MROH2B,MRPL13,MRPL46,MRPS2,MTFMT,MTFP1,MTFR1,MTO1,MTR,MTRNR2L2,MUC5B,MYH9,MYL2,MYO10,MYO19,MYO1A,N4BP1,NAGS,NAMPT,NANOS1,NBPF14,NBR1,NCBP3,NCF4,NCLN,NCOR1,NDUFA1,NDUFA2,NDUFAF3,NDUFB11,NDUFB5,NDUFC2-KCTD14,NDUFS1,NDUFS3,NDUFS7,NDUFV1,NDUFV2,NEB,NEU4,NFAT5,NHEJ1,NHLRC4,NIM1K,NIT2,NKTR,NKX2-1,NKX6-3,NME3,NME6,NOA1,NOL4L,NOX1,NPIPA5,NPIPA8,NPM1,NPR1,NPTX1,NPVF,NQO1,NR1D1,NR1H2,NR1H3,NR2C2AP,NRSN1,NSMCE2,NT5DC2,NTNG1,NUBPL,NUP58,NYNRIN,OGFOD3,OMP,OPHN1,OPLAH,OR11H4,OR13G1,OR2T2,OR4C13,OR4F17,OR4F29,OR4K15,OR51G1,OR5A1,OR5AN1,OR5T3,OR9I1,OSR1,OTUD5,OXSM,PACSIN2,PAK4,PAPPA2,PAQR6,PARG,PATL1,PAX9,PCDHA11,PCDHA4,PCDHA9,PCDHGA2,PCDHGA7,PCDHGA8,PCK2,PDCD2L,PDCD4,PDCL3,PDE4A,PDHA1,PDHB,PDLIM7,PDPR,PEBP1,PEBP4,PEX10,PGAM5,PGAP2,PGLS,PGLYRP4,PHIP,PHLDB2,PI16,PICK1,PIGL,PIGS,PIGW,PIH1D1,PIK3CA,PITRM1,PKLR,PKN2,PLGLB2,PLPP2,PMAIP1,PNKP,PNPLA5,POLG2,POLR2A,POLR2J,POSTN,POTEJ,POTEM,POU2AF1,PPA2,PPFIBP1,PPM1D,PPME1,PPP1R12C,PPP2R5E,PPP3CB,PRAMEF1,PRAMEF15,PRAMEF6,PRDX1,PREX1,PRKAG2,PRKDC,PRMT7,PROCA1,PRPH,PRPS2,PRR12,PRR22,PRR5-ARHGAP8,PRSS57,PSME3,PTGES3L,PTGES3L-AARSD1,PTPN13,PUM3,PYGO2,R3HCC1,RAB10,RAB11FIP3,RAB17,RAB7A,RABEP2,RAD23B,RASAL3,RASSF8,RBFA,RBMY1F,RBMY1J,RC3H1,RECQL4,RET,REXO1L10P,REXO1L1P,RFPL2,RGPD2,RGPD6,RGR,RGS21,RGS6,RGS7,RHPN1,RIC1,RIC8A,RIMBP3C,RIPK4,RLF,RNASEH2C,RNASEK-C17orf49,RNF111,RNF212,ROM1,RP1-309K20.6,RP11-108K14.8,RP11-1102P16.1,RP11-127H5.1,RP11-322L20.1,RP11-399J13.3,RP11-467N20.5,RP11-487E13.1,RP11-51F16.8,RP11-585F1.10,RP11-849F2.7,RP11-944C7.1,RPH3AL,RPL13A,RPL17-C18orf32,RPL21,RPL39,RPS10-NUDT3,RPS17,RPS26,RPS3A,RPSA,RPUSD3,RRAGC,RRP8,RSPH3,RSPO4,RSU1,RTN4RL2,SAT2,SCAF4,SCAMP5,SCAP,SCARF1,SCCPDH,SCG2,SCIN,SCN1B,SCO2,SCRN2,SDCBP2,SDF2,SEC14L5,SEC22B,SEC24A,SELP,SELPLG,SEMA6B,SEPHS1,SEPHS2,SEPT14,SERPINA7,SERPINB2,SERPINH1,SET,SETD1B,SETDB1,SGF29,SH3KBP1,SH3TC1,SHC4,SIGIRR,SIGLEC11,SIRT6,SLC12A4,SLC1A4,SLC22A10,SLC25A1,SLC25A30,SLC28A1,SLC29A3,SLC2A5,SLC31A1,SLC33A1,SLC39A1,SLC39A2,SLC39A6,SLC44A3,SLC4A2,SLC6A16,SLC7A1,SLC7A5,SLC7A6,SLCO4A1,SLF2,SLIT2,SLURP1,SMCP,SMPDL3A,SMTN,SMURF1,SNAP23,SNN,SNRPA,SNRPB2,SNTG1,SNTG2,SNX8,SOS1,SOX2,SOX9,SP1,SP2,SP3,SPAG4,SPATA31D4,SPATC1L,SPCS1,SPHAR,SPIDR,SPINK14,SPOP,SPP2,SPPL3,SPRR2D,SRD5A1,SREBF1,SRRM5,SRSF5,SRXN1,SSBP1,SSBP2,STAP2,STAT3,STAT6,STK32A,STRN,STT3A,STT3B,STX2,STX4,SULT6B1,SUPT20H,SUSD3,SVOPL,TADA1,TADA2B,TAF11,TAF15,TAF4,TAF5L,TAPT1,TARP,TAS2R41,TBC1D10B,TBC1D16,TBC1D29,TBC1D3,TBC1D3B,TBC1D3C,TBC1D3D,TBC1D3F,TBC1D3H,TBC1D3I,TBX4,TCAP,TCFL5,TDP2,TEAD1,TENM4,TERF2,TEX30,TEX37,TFAP2A,TFAP2C,TGFBR1,TGFBR2,TGIF1,TGIF2-C20orf24,THAP12,THAP8,THRSP,THUMPD2,TIAF1,TIGD2,TIMP4,TIRAP,TLN1,TM2D1,TMA7,TMCO5A,TMCO6,TMEM107,TMEM130,TMEM133,TMEM147,TMEM165,TMEM190,TMEM202,TMEM209,TMEM244,TMEM39B,TMEM41A,TMEM74B,TMEM99,TMOD4,TNFRSF10D,TNKS,TNPO1,TNRC6A,TNS3,TOE1,TOMM20L,TOMM70,TPM2,TPM4,TPPP3,TPRA1,TPSD1,TRAF2,TRERF1,TRIM37,TRIM49B,TRIM63,TRIM65,TRMT10A,TROAP,TRPM4,TRPV6,TSPAN11,TSPAN16,TSPYL1,TSR3,TTC19,TTC23,TTYH1,TUBA1C,TUBB4B,TWNK,TXNRD1,TYMS,UBA5,UBB,UBE2F,UBE2H,UBE2J2,UBE2Q1,UBE2W,UBE3B,UBIAD1,UBL7,UBN2,UBOX5,UCK1,UMODL1,UNC45A,UPF3B,URGCP-MRPS24,UROS,USB1,USF2,USO1,USP43,USP48,UXS1,VASH1,VAX2,VCY,VEZT,VPS11,VPS13A,VPS45,VSX2,VWCE,WAC,WBP4,WDR44,WDR73,WDR87,WDR93,WIZ,WRAP53,XDH,XKR6,XPA,XPNPEP1,YBEY,YIPF5,YME1L1,YY1AP1,ZBTB14,ZBTB24,ZBTB3,ZC3HAV1L,ZCCHC10,ZMYM2,ZMYND8,ZNF107,ZNF112,ZNF19,ZNF225,ZNF264,ZNF274,ZNF329,ZNF367,ZNF514,ZNF518A,ZNF560,ZNF575,ZNF580,ZNF624,ZNF626,ZNF645,ZNF649,ZNF839,ZSWIM7,ZSWIM8,ZWILCH,ZWINT,ZYX
Glandular*	Lung-Squamous	30	1327	ADAR,ALG1L,BCL2L2-PABPN1,CTNNB1,EIF3CL,FAM86B1,HIST2H2BE,HIST2H3A,LCE1E,NPIPA5,NXT1,PLGLB2,POLR2A,POLR2J,PRAMEF5,PRAMEF6,RBM10,RGPD6,RPL13A,RPL21,RPSA,SCAP,SLC4A7,SMN2,TBC1D3C,TBC1D3F,TBC1D3H,TIMM17A,TYMS,UBB
Glandular*	Lymphoid	172	1327	AC002451.1,AC002472.1,AC004017.1,AC004076.7,AC004824.2,AC005082.1,AC007216.2,AC008686.1,AC009060.1,AC011997.1,AC026369.1,AC073333.1,AC073657.1,ADSS,AL031663.1,AL162389.1,AL162431.1,AL353608.1,AL365202.1,ALG12,ALG1L,AP001024.2,AP003041.2,ASH2L,ATP5I,ATP5O,BCL2L2-PABPN1,BIRC6,CDK6,CDS2,CERS2,CFLAR,CH17-132F21.1,CHMP7,COA7,CPOX,CSK,CTAGE8,CTD-2545G14.7,CTD-2545M3.6,CXXC1,CYC1,DCAF1,DDX17,DHODH,DHRS13,DMAC2,DNLZ,DOLK,DOT1L,DPH6,EARS2,EED,EIF3CL,EMC6,FAM86B1,FARS2,FKBPL,FKSG49,FKSG62,GATAD1,GOLGA6L1,GOLGA6L22,GPI,GPX4,GTF3C6,H2AFB1,HIC2,HIST1H2AJ,HIST2H2AA4,HIST2H2BE,HIST2H3A,HIST2H3D,HIST2H4B,HMBS,IDH3A,IGF1R,IKBKE,IMPDH2,ING3,ISY1-RAB43,ITPK1,JDP2,KDSR,LCE1E,LCK,LIG1,LINC00999,LIPT1,MED16,MEF2D,MEMO1,MPI,MRPS2,MRPS26,MTFMT,MTO1,NAMPT,NANS,NDUFA1,NDUFAF3,NDUFB11,NDUFC2-KCTD14,NDUFS1,NDUFS7,NDUFV1,NME6,NPIPA5,NPM1,NSMCE2,NXT1,OTUD5,PCYT2,PGP,PHIP,PLGLB2,POLG2,POLR2A,POLR2J,POLR2J3,POU2AF1,PPA2,PRAMEF5,PRAMEF6,PREX1,PRKDC,RGPD6,RIF1,RP11-1102P16.1,RP11-127H5.1,RP11-322L20.1,RP11-399J13.3,RP11-487E13.1,RP11-849F2.7,RPL13A,RPL21,RPL39,RPS10-NUDT3,RPS26,RPS3A,RPSA,RRAGA,SCAP,SCO2,SEPHS2,SLC7A1,SPCS1,SRM,STT3B,TAF11,TAZ,TBC1D3C,TBC1D3F,TBC1D3H,TERF2,THAP12,TMA7,TOE1,TXNRD1,TYMS,UBA6,UBE2J2,UHRF1,USO1,USP48,VPS45,WASHC1,WDR59,YBEY,ZFP36L1,ZMYND8,ZNF649
Glandular*	Myeloid	192	1327	AC002451.1,AC002472.1,AC004017.1,AC004824.2,AC005082.1,AC007216.2,AC008132.1,AC008686.1,AC011997.1,AC026369.1,AC073333.1,AC073657.1,ADSS,AL162431.1,AL365202.1,ALG1L,AP001024.2,AP003041.2,ASH2L,ATF5,ATP5I,BCL2L2-PABPN1,CBWD3,CCNC,CCNE1,CDK6,CDS2,CERS2,CH17-132F21.1,CLEC18C,COA7,COX11,CTAGE8,CTD-2545M3.6,CYB5B,CYC1,DCAF1,DHODH,DHX30,DNAJC19,DNLZ,DOLK,DYRK1A,EARS2,EIF2AK4,EIF3CL,EMC6,FAAP100,FAM122A,FAM86B1,FANCI,FASTKD5,FBXO42,FBXW11,FKBPL,FKSG49,FKSG62,GATB,GOLGA6L1,GOLGA8N,GPI,GPX4,GTPBP8,GYPE,HIC2,HIST1H2AJ,HIST2H2AA4,HIST2H2BE,HIST2H3A,HIST2H3C,HIST2H3D,HIST2H4B,HSD17B12,HSP90AB1,HSPE1-MOB4,HTRA2,IBA57,IGF1R,IMPDH2,ISCA1,ISY1-RAB43,ITPK1,KATNB1,LCE1E,LDB1,LINC00999,LIPT1,MAPK1,MDH2,MED15,MED16,MEF2C,MEF2D,MEN1,MINOS1,MRM2,MRPS2,MRPS26,MYH9,NAMPT,NBPF15,NDUFA1,NDUFA2,NDUFAF3,NDUFB11,NDUFC2-KCTD14,NDUFS1,NDUFV1,NFYA,NOA1,NPIPA1,NPIPA2,NPIPA5,NPM1,NR2C2AP,NSMCE2,NUP58,PARG,PDE12,PLGLB2,PMF1-BGLAP,PNKP,POLG2,POLR2A,POLR2J,POLR2J3,PPM1D,PRAMEF6,PREX1,PUM3,RBFA,RGPD6,RIF1,RLF,RP11-1102P16.1,RP11-127H5.1,RP11-322L20.1,RP11-487E13.1,RP11-849F2.7,RP11-944C7.1,RPL13A,RPL21,RPL39,RPS17,RPS26,RPS3A,RPSA,RPUSD3,RRAGA,SCAP,SCO2,SEC22B,SEC23B,SEPHS2,SETDB1,SLC25A1,SLC4A7,SLC7A1,SLC7A5,SOS1,SOX2,SPATA31A7,ST20-MTHFS,TAF5L,TAZ,TBC1D3,TBC1D3C,TBC1D3F,TBC1D3H,TERF2,THAP12,TMEM41A,TNPO1,TOE1,TRIM28,TUBB4B,TWNK,TXNRD1,TYMS,UBA5,UBE2J2,UHRF1,USO1,VPS4A,WASHC1,WDR48,YAE1D1,YBEY,YME1L1,ZFP91,ZMYND8,ZSWIM8
Glandular*	Nervous	114	1327	ADAR,ALG1L,AMY1B,ASCL1,ATP5I,ATP5O,ATXN10,AUP1,BCL2L2-PABPN1,BRAP,BSG,C14orf80,C17orf100,CDK11A,CDK6,CDS2,CNOT9,COQ3,DCAF1,DDX1,DEFB4A,DET1,DOLK,DOT1L,DPH1,EGFR,EIF3CL,FAM86B1,FANCI,FASN,FBXO42,FBXW11,FERMT2,FLII,GATA3,GPI,GPX4,HIST1H2AJ,HIST2H2BE,HIST2H3A,HIST2H3C,HIST2H3D,HMBS,HSD17B12,IBA57,ICE2,ILK,ISCA1,ITGAV,KDSR,LCE1E,LDB1,LIMS4,MIOS,MRM3,MRPL13,MRPS2,MRPS26,MTFMT,MYCN,NDUFAF3,NDUFC2-KCTD14,NHLRC4,NPIPA5,NUP58,NXT1,PHGR1,PLGLB2,POLG,POLR2A,POLR2J,POTEM,POU2AF1,PPM1D,PRAMEF5,PRAMEF6,PRR12,RGPD2,RGPD6,RIF1,RPL13A,RPL21,RPS17,RPSA,SCAP,SEPHS2,SMN2,SNRPB2,SOX2,SOX9,TADA1,TBC1D3C,TBC1D3F,TBC1D3H,TDP2,TERF2,TEX37,TFAP2C,THAP12,TLCD1,TMA7,TMED7,TOE1,TRIM28,TRIM37,TUBA1C,TWNK,TYMS,UBA5,UBIAD1,VCY,VRK1,WDR73,ZBTB3
Glandular*	Nervous*	128	1327	ADAR,ALG1L,AMY1B,ASCL1,ATP5I,ATP5O,ATXN10,AUP1,BCL2L2-PABPN1,BRAP,BSG,C14orf80,C17orf100,CDK11A,CDK6,CDS2,CNOT9,COQ3,CPOX,DCAF1,DDX1,DEFB4A,DET1,DLG5,DOLK,DOT1L,DPH1,EGFR,EIF3CL,ELMO2,FAM49A,FAM86B1,FANCI,FASN,FBXO42,FBXW11,FERMT2,FLII,GATA3,GID8,GPI,GPX4,HIST1H2AJ,HIST2H2BE,HIST2H3A,HIST2H3C,HIST2H3D,HMBS,HSD17B12,IBA57,ICE2,ILK,ISCA1,ITGAV,KDSR,LCE1E,LDB1,LIMS4,MEMO1,MIOS,MRM3,MRPL13,MRPS2,MRPS26,MTFMT,MYCN,NDUFAF3,NDUFC2-KCTD14,NHLRC4,NPIPA5,NR2C2AP,NUP58,NXT1,PHGR1,PLGLB2,POLG,POLR2A,POLR2J,POTEM,POU2AF1,PPM1D,PRAMEF5,PRAMEF6,PRR12,RAB11FIP3,RGPD2,RGPD6,RIF1,RPL13A,RPL21,RPS17,RPSA,SCAP,SEPHS2,SMN2,SNAP23,SNRPB2,SOX2,SOX9,SSBP2,TADA1,TBC1D10B,TBC1D3C,TBC1D3F,TBC1D3H,TDP2,TERF2,TEX37,TFAP2C,THAP12,TLCD1,TM2D1,TMA7,TMED7,TNPO1,TOE1,TRIM28,TRIM37,TUBA1C,TWNK,TYMS,UBA5,UBE2H,UBIAD1,VCY,VRK1,WDR73,ZBTB3
Glandular*	Nervous-Glandular	20	1327	ALG1L,ASCL1,BCL2L2-PABPN1,CDK6,FAM49A,FAM86B1,GPX4,HIST1H2AJ,HIST2H3D,LCE1E,MYCN,NPIPA5,NXT1,POLR2A,POLR2J,RGPD6,RPL21,TBC1D3C,TBC1D3F,TBC1D3H
Glandular*	Nervous-StemCell	27	1327	ATP5O,C14orf80,CDK11A,CDK6,CPOX,DLG5,DOLK,ELMO2,FASN,FBXW11,GID8,ILK,MEMO1,NDUFAF3,NR2C2AP,PPM1D,RAB11FIP3,RPSA,SNAP23,SOX2,SSBP2,TBC1D10B,TERF2,TM2D1,TNPO1,UBE2H,WDR73
Glandular*	Oral	36	1327	ADAR,ALG1L,BCL2L2-PABPN1,CDK11A,EARS2,EDF1,EGFR,EIF3CL,FAM86B1,H2AFB1,HIST2H3C,HIST2H3D,IDH3A,LCE1E,NDUFC2-KCTD14,NPIPA5,NXT1,PLGLB2,POLR2A,PRAMEF6,RGPD6,RPL13A,RPL21,RPSA,SCAP,SNAP23,SOX2,TBC1D3C,TBC1D3F,TRIM37,TUBB4B,TYMS,UBIAD1,VRK1,WDR73,YAP1
Glandular*	Oral*	50	1327	ADAR,ALG1L,AMY1B,BCL2L2-PABPN1,CDK11A,EARS2,EDF1,EGFR,EIF3CL,FAM86B1,GPI,GPX4,H2AFB1,HIST1H2AJ,HIST2H3C,HIST2H3D,IDH3A,KATNB1,LCE1E,NDUFC2-KCTD14,NPIPA5,NXT1,PHGR1,PLGLB2,POLR2A,POLR2J,PRAMEF6,RBM10,RGPD2,RGPD6,RPL13A,RPL21,RPSA,SCAP,SNAP23,SNRPB2,SOX2,ST20-MTHFS,TBC1D3C,TBC1D3F,TBC1D3H,TRIM37,TUBB4B,TYMS,UBIAD1,VPS4A,VRK1,WDR73,YAP1,ZFX
Glandular*	Oral-Glandular	7	1327	FAM86B1,NDUFC2-KCTD14,NPIPA5,PLGLB2,POLR2A,RGPD6,RPL21
Glandular*	Oral-Squamous	40	1327	ADAR,ALG1L,AMY1B,BCL2L2-PABPN1,EGFR,EIF3CL,FAM86B1,GPI,GPX4,HIST1H2AJ,HIST2H3D,KATNB1,LCE1E,NDUFC2-KCTD14,NPIPA5,NXT1,PHGR1,PLGLB2,POLR2A,POLR2J,PRAMEF6,RBM10,RGPD2,RGPD6,RPL13A,RPL21,RPSA,SCAP,SNRPB2,ST20-MTHFS,TBC1D3C,TBC1D3F,TBC1D3H,TRIM37,TUBB4B,TYMS,VPS4A,WDR73,YAP1,ZFX
Glandular*	Ovary	62	1327	ADAR,AFM,ALG1L,ASH2L,ASPM,BCL2L2-PABPN1,CDS2,CFLAR,CHMP7,CLEC18C,CTAGE8,EARS2,EDF1,EIF3CL,FAM86B1,FERMT2,GBGT1,GOLGA8N,GPX4,HIST1H2AJ,HIST2H2BE,HIST2H3A,HIST2H3C,ISCA1,KLF5,LCE1E,LDB1,NDUFC2-KCTD14,NPIPA5,NXT1,PLGLB2,POLG,POLR2A,POLR2J,POTEM,PPAN-P2RY11,PRAMEF6,RGPD2,RGPD6,RPL13A,RPL21,RPS17,RPSA,SCAP,SEPHS2,SMN2,SPATA31A7,ST20-MTHFS,TBC1D3C,TBC1D3F,TBC1D3H,TGIF1,TMA7,TNFRSF13C,TRIM37,TUBA1C,TYMS,UBA5,UBIAD1,VCY,VPS4A,ZFP82
Glandular*	Ovary-Glandular	42	1327	ALG1L,AMY1B,BCL2L2-PABPN1,BRD2,CCNE1,CFLAR,CYC1,EIF3CL,FAAP24,FAM86B1,GPI,GPX4,HIST1H2AJ,HIST2H3A,HIST2H3D,ISY1-RAB43,KLF5,LCE1E,LDB1,NPIPA5,NPM1,PITRM1,PLGLB2,POLR2A,POLR2J,POTEM,PRAMEF6,RGPD6,RPL21,RPS17,RPSA,SCAP,SEPHS2,SMN2,TBC1D3C,TBC1D3F,TBC1D3H,TOE1,TRIM37,UBIAD1,VRK1,WDR48
Glandular*	Pancreas	38	1327	AFM,ALG1L,ASH2L,ATP5I,BCL2L2-PABPN1,CFLAR,CHMP7,CTAGE8,DEFB114,EIF3CL,FAM86B1,GBGT1,GYPE,HIST2H4B,IDH3A,ITGAV,LCE1E,NFYA,NPIPA5,POLR2A,POLR2J,PRAMEF6,RGPD6,RPL13A,RPL21,RPS17,RPSA,SCAP,SEPHS2,SKAP2,SNRPB2,SPATA31A7,TBC1D3C,TBC1D3H,TNFRSF13C,TYMS,UBIAD1,ZFP82
